入职日期,工号,姓名,部门,职位级别,所在城市,学历,基本薪资(元),年终奖(元),绩效等级,工龄(年),出勤率(%),加班时长(h)
2018-08-18,EMP10029,员工029,人事部,总监,广州,大专,78781,75783.62,A,6,88.9,30
2023-02-08,EMP10030,员工030,人事部,副总裁,北京,硕士,120187,346749.96,A,1,94.8,30
2022-09-11,EMP10031,员工031,研发部,总监,杭州,大专,78968,131362.28,A,2,94.6,37
2016-09-19,EMP10032,员工032,销售部,经理,南京,硕士,49809,52190.94,A,8,91.2,70
2023-07-18,EMP10033,员工033,人事部,副总裁,广州,大专,122403,306617.98,C,1,92.9,67
2021-02-21,EMP10034,员工034,运营部,高级,广州,本科,23639,66026.37,A,3,87.5,66
2016-01-08,EMP10035,员工035,人事部,初级,南京,大专,11572,11728.26,B,8,91.8,65
2018-06-16,EMP10036,员工036,人事部,主管,北京,博士,37619,24239.5,B,6,88.8,0
2022-11-08,EMP10037,员工037,运营部,中级,上海,大专,17737,12106.81,B,2,99.0,8
2023-08-03,EMP10038,员工038,人事部,初级,武汉,硕士,8351,12711.62,B,1,99.9,48
2022-06-03,EMP10039,员工039,人事部,副总裁,深圳,硕士,121092,174265.17,B,2,86.8,68
2015-01-15,EMP10040,员工040,人事部,经理,北京,硕士,49043,113762.37,A,9,91.9,69
2018-11-18,EMP10041,员工041,人事部,经理,深圳,硕士,51107,130752.2,A,6,87.8,14
2015-03-06,EMP10042,员工042,研发部,副总裁,广州,本科,123408,191048.11,B,9,86.0,76
2017-09-29,EMP10043,员工043,研发部,主管,北京,博士,37897,82617.7,C,7,91.6,69
2018-03-30,EMP10044,员工044,市场部,副总裁,广州,硕士,124357,79726.53,B,6,93.7,41
2019-08-21,EMP10045,员工045,市场部,高级,杭州,硕士,24173,71654.55,B,5,85.9,75
2015-07-12,EMP10046,员工046,运营部,中级,成都,博士,18128,39824.96,B,9,96.8,40
2023-06-18,EMP10047,员工047,运营部,主管,南京,本科,36344,31729.91,A,1,97.7,38
2021-04-22,EMP10048,员工048,法务部,总监,武汉,博士,79182,199098.42,C,3,93.4,17
2020-01-17,EMP10049,员工049,人事部,中级,成都,大专,15088,15213.86,B,4,93.0,24
2015-10-26,EMP10050,员工050,研发部,高级,广州,本科,26089,56983.07,B,9,92.2,42
2016-04-25,EMP10051,员工051,销售部,初级,南京,本科,7735,21989.83,D,8,95.4,26
2020-03-24,EMP10052,员工052,人事部,中级,成都,硕士,17522,22849.35,A,4,88.9,65
2023-07-17,EMP10053,员工053,人事部,主管,成都,本科,33807,84755.55,B,1,90.6,52
2021-03-16,EMP10054,员工054,研发部,经理,武汉,硕士,49812,117214.16,S,3,87.3,42
2022-05-05,EMP10055,员工055,市场部,主管,成都,硕士,37667,97309.18,B,2,96.5,62
2023-12-01,EMP10056,员工056,运营部,总监,成都,本科,84058,145125.21,A,1,87.1,69
2020-11-16,EMP10057,员工057,人事部,中级,北京,大专,17441,51901.08,D,4,99.2,6
2015-10-06,EMP10058,员工058,法务部,初级,深圳,大专,9378,7912.49,B,9,88.3,58
2020-06-02,EMP10059,员工059,销售部,初级,南京,大专,11061,23165.29,C,4,85.1,70
2018-03-20,EMP10060,员工060,人事部,初级,北京,博士,6137,11191.09,A,6,97.1,22
2020-11-26,EMP10061,员工061,研发部,初级,杭州,硕士,10295,8979.75,A,4,89.0,50
2022-10-26,EMP10062,员工062,研发部,高级,广州,硕士,26326,43371.94,A,2,95.3,10
2019-04-03,EMP10063,员工063,运营部,副总裁,武汉,博士,123323,295847.51,S,5,85.8,1
2023-10-18,EMP10064,员工064,运营部,中级,成都,大专,13677,23929.91,B,1,98.4,5
2015-07-10,EMP10065,员工065,市场部,中级,上海,硕士,18671,50764.32,B,9,98.5,72
2017-04-28,EMP10066,员工066,运营部,初级,深圳,博士,7469,21076.89,A,7,98.9,38
2022-08-05,EMP10067,员工067,市场部,经理,成都,博士,49969,95777.57,C,2,96.3,17
2018-11-17,EMP10068,员工068,法务部,总监,北京,大专,83932,58422.48,B,6,91.6,9
2023-09-04,EMP10069,员工069,销售部,经理,成都,大专,54299,110480.17,B,1,94.5,57
2017-01-30,EMP10070,员工070,人事部,中级,武汉,大专,15914,29959.61,A,7,96.6,37
2019-04-06,EMP10071,员工071,法务部,中级,深圳,博士,18841,12882.85,A,5,89.8,13
2016-02-23,EMP10072,员工072,研发部,初级,深圳,大专,8525,13740.93,B,8,87.8,57
2018-12-20,EMP10073,员工073,财务部,经理,上海,硕士,52197,79345.2,S,6,98.0,1
2021-04-10,EMP10074,员工074,销售部,主管,广州,本科,36176,88556.05,B,3,95.3,21
2016-11-15,EMP10075,员工075,市场部,高级,武汉,硕士,25466,29821.12,A,8,91.3,61
2022-01-04,EMP10076,员工076,法务部,初级,南京,本科,8958,10115.82,A,2,91.9,17
2018-09-11,EMP10077,员工077,销售部,初级,南京,硕士,9241,12295.55,B,6,91.5,76
2020-05-16,EMP10078,员工078,市场部,高级,成都,本科,25626,51457.73,B,4,99.5,40
2023-10-08,EMP10079,员工079,销售部,总监,广州,硕士,83693,174270.26,D,1,90.6,50
2017-01-06,EMP10080,员工080,销售部,初级,北京,博士,10619,10613.69,D,7,99.1,26
2023-12-04,EMP10081,员工081,人事部,副总裁,武汉,博士,120386,310379.73,S,1,87.1,38
2019-03-25,EMP10082,员工082,市场部,高级,上海,博士,28395,25139.74,B,5,99.9,61
2022-10-04,EMP10083,员工083,财务部,主管,武汉,大专,37377,66027.65,C,2,96.9,46
2016-03-23,EMP10084,员工084,运营部,副总裁,广州,硕士,122398,242904.93,C,8,87.5,78
2023-06-10,EMP10085,员工085,研发部,经理,成都,博士,53284,116888.03,A,1,86.6,12
2022-09-17,EMP10086,员工086,销售部,中级,广州,博士,17183,40674.44,B,2,90.6,59
2015-04-11,EMP10087,员工087,法务部,总监,南京,大专,82821,184367.27,A,9,89.4,10
2020-02-09,EMP10088,员工088,研发部,副总裁,广州,博士,123981,105903.08,A,4,90.2,12
2015-07-03,EMP10089,员工089,人事部,总监,上海,大专,83707,136535.99,S,9,97.7,13
2020-10-14,EMP10090,员工090,运营部,副总裁,深圳,本科,119346,337129.31,B,4,90.0,54
2022-03-08,EMP10091,员工091,人事部,中级,武汉,博士,19535,29549.0,A,2,85.4,78
2017-05-29,EMP10092,员工092,市场部,主管,广州,硕士,37851,59573.01,S,7,96.3,8
2018-08-28,EMP10093,员工093,财务部,初级,广州,博士,12549,33630.67,A,6,86.7,62
2021-08-01,EMP10094,员工094,财务部,总监,上海,硕士,80567,160523.87,B,3,90.3,58
2021-11-21,EMP10095,员工095,财务部,中级,上海,本科,19666,42950.0,C,3,89.7,30
2019-05-11,EMP10096,员工096,销售部,初级,武汉,本科,7499,10748.06,A,5,93.6,54
2016-12-10,EMP10097,员工097,市场部,主管,深圳,博士,38206,70430.78,C,8,89.3,23
2015-02-09,EMP10098,员工098,销售部,副总裁,南京,本科,121694,249293.19,C,9,87.9,49
2019-08-30,EMP10099,员工099,财务部,经理,南京,博士,53349,92689.87,B,5,87.5,72
2017-07-09,EMP10100,员工100,研发部,副总裁,杭州,本科,124234,130610.16,S,7,96.7,72
2021-06-03,EMP10101,员工101,运营部,副总裁,上海,硕士,124274,216023.43,B,3,96.6,46
2021-02-15,EMP10102,员工102,财务部,副总裁,广州,博士,124199,75019.46,B,3,86.5,31
2015-12-23,EMP10103,员工103,销售部,副总裁,南京,大专,118264,192099.86,A,9,96.6,30
2022-12-21,EMP10104,员工104,市场部,副总裁,武汉,本科,124042,244339.14,A,2,94.2,26
2018-02-25,EMP10105,员工105,法务部,中级,深圳,硕士,19598,12707.24,A,6,99.7,37
2022-08-14,EMP10106,员工106,销售部,经理,上海,本科,50190,144597.06,B,2,99.4,52
2017-10-19,EMP10107,员工107,研发部,高级,深圳,硕士,28373,23187.0,C,7,97.4,50
2019-03-17,EMP10108,员工108,人事部,中级,南京,大专,17730,36896.22,B,5,94.5,11
2019-02-20,EMP10109,员工109,人事部,经理,南京,博士,54142,64730.24,C,5,89.9,0
2020-02-21,EMP10110,员工110,法务部,副总裁,成都,大专,124939,291334.02,B,4,96.9,50
2018-03-07,EMP10111,员工111,市场部,主管,成都,本科,39757,40934.95,A,6,93.5,62
2022-01-08,EMP10112,员工112,法务部,高级,南京,大专,28591,68779.51,S,2,86.9,20
2022-09-21,EMP10113,员工113,人事部,主管,深圳,硕士,33005,98341.55,B,2,87.4,35
2022-04-11,EMP10114,员工114,研发部,总监,深圳,大专,80952,91149.78,A,2,90.9,39
2022-11-22,EMP10115,员工115,运营部,总监,上海,大专,84186,91372.08,B,2,88.2,9
2015-02-03,EMP10116,员工116,市场部,经理,成都,大专,49852,89664.34,B,9,99.8,54
2023-03-13,EMP10117,员工117,运营部,中级,上海,大专,16913,11451.3,A,1,89.7,38
2022-03-12,EMP10118,员工118,市场部,主管,深圳,大专,39336,99654.6,C,2,93.0,1
2022-01-16,EMP10119,员工119,财务部,总监,深圳,博士,79344,126970.12,B,2,94.2,56
2016-05-19,EMP10120,员工120,法务部,中级,武汉,硕士,13710,37585.72,A,8,99.4,40
2021-03-16,EMP10121,员工121,法务部,中级,杭州,大专,15029,17920.87,S,3,97.7,38
2018-04-25,EMP10122,员工122,市场部,经理,北京,本科,52971,93960.3,B,6,92.4,14
2015-02-19,EMP10123,员工123,市场部,主管,成都,硕士,38227,75873.88,B,9,87.0,72
2023-08-22,EMP10124,员工124,人事部,高级,上海,大专,27475,60647.08,B,1,93.8,1
2019-06-19,EMP10125,员工125,销售部,中级,杭州,博士,13326,37398.73,C,5,91.4,51
2015-12-09,EMP10126,员工126,研发部,总监,杭州,大专,82395,151947.78,A,9,92.7,26
2023-07-24,EMP10127,员工127,法务部,中级,上海,硕士,17394,22905.74,B,1,95.5,30
2021-11-12,EMP10128,员工128,研发部,中级,北京,硕士,13706,38535.37,A,3,95.0,22
2020-07-26,EMP10129,员工129,研发部,初级,成都,硕士,11799,9946.9,S,4,87.5,16
2015-05-01,EMP10130,员工130,运营部,副总裁,成都,博士,120201,280349.55,A,9,89.1,8
2020-09-23,EMP10131,员工131,销售部,总监,成都,大专,82723,171140.0,B,4,92.5,72
2021-06-08,EMP10132,员工132,市场部,高级,上海,本科,24288,27634.65,A,3,96.1,0
2019-04-18,EMP10133,员工133,研发部,副总裁,深圳,本科,118100,131253.82,B,5,99.0,4
2018-08-11,EMP10134,员工134,财务部,副总裁,广州,博士,123849,291251.31,B,6,98.7,40
2022-07-20,EMP10135,员工135,销售部,副总裁,北京,本科,118638,228833.71,A,2,88.3,66
2023-09-04,EMP10136,员工136,研发部,主管,杭州,硕士,33564,90370.33,C,1,86.3,58
2023-04-18,EMP10137,员工137,研发部,高级,广州,博士,24643,30285.94,B,1,90.5,63
2023-12-05,EMP10138,员工138,法务部,副总裁,广州,本科,119600,278806.54,B,1,85.1,52
2015-02-09,EMP10139,员工139,研发部,中级,成都,大专,17436,23818.61,C,9,96.4,48
2017-09-02,EMP10140,员工140,法务部,总监,武汉,博士,83957,106522.68,A,7,99.4,18
2020-10-29,EMP10141,员工141,运营部,高级,武汉,硕士,23762,14488.9,A,4,91.9,10
2015-11-03,EMP10142,员工142,财务部,初级,北京,博士,10140,8454.58,C,9,94.9,16
2019-05-29,EMP10143,员工143,市场部,高级,成都,硕士,25138,66044.67,C,5,91.8,29
2016-09-28,EMP10144,员工144,研发部,中级,上海,本科,14115,34579.53,B,8,91.7,40
2020-01-26,EMP10145,员工145,人事部,初级,杭州,博士,10390,14501.52,B,4,89.0,15
2022-10-25,EMP10146,员工146,研发部,中级,北京,本科,19615,43449.91,C,2,97.5,41
2020-10-04,EMP10147,员工147,市场部,初级,北京,硕士,11825,13250.47,A,4,88.9,22
2017-10-20,EMP10148,员工148,研发部,主管,上海,博士,40000,65220.12,B,7,86.5,17
2016-06-19,EMP10149,员工149,研发部,初级,广州,博士,6505,16756.43,D,8,90.6,80
2015-11-04,EMP10150,员工150,运营部,初级,北京,大专,10770,21166.25,C,9,88.0,56
2018-09-20,EMP10151,员工151,法务部,中级,上海,大专,13753,37995.34,C,6,99.1,6
2015-05-01,EMP10152,员工152,市场部,经理,武汉,博士,51548,131664.6,A,9,87.6,27
2021-11-20,EMP10153,员工153,市场部,高级,广州,硕士,25292,40847.3,A,3,92.5,70
2017-03-27,EMP10154,员工154,人事部,初级,广州,大专,6718,8057.84,A,7,99.8,45
2020-08-19,EMP10155,员工155,人事部,经理,成都,博士,54401,93118.12,C,4,89.1,3
2018-02-24,EMP10156,员工156,销售部,经理,北京,博士,49794,28544.84,C,6,92.9,74
2020-12-25,EMP10157,员工157,市场部,中级,北京,本科,13820,15473.46,A,4,93.6,49
2018-07-26,EMP10158,员工158,销售部,副总裁,成都,大专,124924,116714.0,A,6,95.6,45
2020-07-09,EMP10159,员工159,财务部,经理,杭州,本科,49164,93793.71,A,4,92.4,11
2015-01-03,EMP10160,员工160,研发部,中级,成都,本科,17928,18771.02,B,9,97.1,43
2015-03-31,EMP10161,员工161,运营部,中级,深圳,本科,19573,51099.43,A,9,96.6,67
2019-06-09,EMP10162,员工162,法务部,高级,上海,硕士,23594,33833.25,C,5,89.5,17
2022-04-13,EMP10163,员工163,市场部,总监,成都,本科,81578,202281.32,D,2,95.6,71
2016-12-19,EMP10164,员工164,运营部,经理,武汉,硕士,54447,75793.7,B,8,96.0,37
2021-06-04,EMP10165,员工165,市场部,中级,武汉,大专,18970,9570.27,B,3,87.7,40
2020-07-25,EMP10166,员工166,法务部,经理,深圳,硕士,49809,104554.92,A,4,96.2,30
2022-12-13,EMP10167,员工167,销售部,高级,成都,博士,24375,50955.13,D,2,85.2,26
2023-01-29,EMP10168,员工168,市场部,总监,北京,大专,78555,108107.62,B,1,90.8,53
2019-03-18,EMP10169,员工169,市场部,主管,上海,博士,37039,100169.26,A,5,96.8,73
2023-12-18,EMP10170,员工170,运营部,副总裁,北京,硕士,123629,131535.92,B,1,85.3,33
2023-03-18,EMP10171,员工171,研发部,初级,上海,大专,8800,8142.31,A,1,90.1,78
2021-10-23,EMP10172,员工172,人事部,总监,武汉,本科,78253,123507.36,B,3,85.8,42
2023-03-09,EMP10173,员工173,市场部,中级,杭州,硕士,16352,36677.4,B,1,89.5,12
2015-08-12,EMP10174,员工174,研发部,主管,成都,大专,37683,70623.84,B,9,91.4,37
2015-04-16,EMP10175,员工175,法务部,总监,广州,本科,83120,166284.79,A,9,94.6,10
2020-06-26,EMP10176,员工176,人事部,副总裁,杭州,大专,118946,151166.51,A,4,94.6,49
2017-12-14,EMP10177,员工177,市场部,高级,南京,博士,26124,37187.62,B,7,89.0,34
2015-12-18,EMP10178,员工178,财务部,初级,成都,博士,7238,17230.69,B,9,99.6,75
2019-09-11,EMP10179,员工179,市场部,经理,南京,本科,48499,126194.05,C,5,92.1,10
2020-10-17,EMP10180,员工180,人事部,副总裁,深圳,大专,123851,72678.4,B,4,99.2,57
2019-10-01,EMP10181,员工181,市场部,中级,上海,博士,14735,37149.17,A,5,88.0,80
2015-10-02,EMP10182,员工182,市场部,副总裁,上海,博士,122874,140655.82,C,9,93.3,70
2015-02-20,EMP10183,员工183,销售部,副总裁,武汉,大专,120262,216377.85,C,9,91.2,18
2016-03-08,EMP10184,员工184,财务部,经理,上海,硕士,52773,126441.12,C,8,98.0,44
2020-04-21,EMP10185,员工185,人事部,高级,北京,本科,26137,55853.96,B,4,89.1,18
2018-09-19,EMP10186,员工186,财务部,经理,广州,大专,53577,119699.22,S,6,96.2,34
2018-02-22,EMP10187,员工187,销售部,初级,南京,大专,8767,22298.56,A,6,99.6,29
2018-01-08,EMP10188,员工188,市场部,高级,武汉,大专,29092,46773.43,C,6,87.8,27
2019-03-12,EMP10189,员工189,法务部,主管,北京,本科,39069,66852.95,B,5,86.0,64
2015-04-29,EMP10190,员工190,人事部,中级,深圳,本科,19393,50969.43,C,9,98.1,25
2019-01-16,EMP10191,员工191,法务部,初级,广州,硕士,8043,4686.48,S,5,90.5,59
2017-09-17,EMP10192,员工192,财务部,主管,成都,博士,38205,107267.56,B,7,93.9,22
2017-11-25,EMP10193,员工193,法务部,主管,上海,硕士,37807,71014.18,A,7,85.4,6
2017-06-25,EMP10194,员工194,市场部,副总裁,广州,本科,122687,300531.05,A,7,89.0,52
2020-04-25,EMP10195,员工195,财务部,初级,深圳,本科,12392,36157.95,B,4,94.0,1
2022-12-15,EMP10196,员工196,市场部,高级,杭州,博士,27983,70313.27,A,2,98.4,44
2021-12-29,EMP10197,员工197,人事部,高级,武汉,大专,24787,41313.61,B,3,85.1,47
2016-03-18,EMP10198,员工198,财务部,总监,南京,大专,82864,167602.82,A,8,90.0,35
2022-04-22,EMP10199,员工199,运营部,高级,杭州,本科,25268,29130.65,B,2,87.2,30
2018-08-02,EMP10200,员工200,研发部,副总裁,深圳,大专,124572,314553.32,B,6,94.8,37
